Date;Filière;Valeur (Mt);Nature
2017-01;" Émissions liées aux importations*";0,619114935;Données Consolidées
2017-02;" Émissions liées aux importations*";0,011287274;Données Consolidées
2017-03;" Émissions liées aux importations*";0,000390315;Données Consolidées
2017-04;" Émissions liées aux importations*";0,000997093;Données Consolidées
2017-05;" Émissions liées aux importations*";;Données Consolidées
2017-06;" Émissions liées aux importations*";0,006254876;Données Consolidées
2017-07;" Émissions liées aux importations*";0,000280792;Données Consolidées
2017-08;" Émissions liées aux importations*";;Données Consolidées
2017-09;" Émissions liées aux importations*";;Données Consolidées
2017-10;" Émissions liées aux importations*";0,04049242;Données Consolidées
2017-11;" Émissions liées aux importations*";0,549106441;Données Consolidées
2017-12;" Émissions liées aux importations*";0,271481976;Données Consolidées
2018-01;" Émissions liées aux importations*";0,000413807;Données Consolidées
2018-02;" Émissions liées aux importations*";0,096509311;Données Consolidées
2018-03;" Émissions liées aux importations*";0,036854861;Données Consolidées
2018-04;" Émissions liées aux importations*";0,001744877;Données Consolidées
2018-05;" Émissions liées aux importations*";0,001255156;Données Consolidées
2018-06;" Émissions liées aux importations*";;Données Consolidées
2018-07;" Émissions liées aux importations*";;Données Consolidées
2018-08;" Émissions liées aux importations*";0,002742967;Données Consolidées
2018-09;" Émissions liées aux importations*";0,000196606;Données Consolidées
2018-10;" Émissions liées aux importations*";0,011511601;Données Consolidées
2018-11;" Émissions liées aux importations*";0,161692648;Données Consolidées
2018-12;" Émissions liées aux importations*";0,017132431;Données Consolidées
2019-01;" Émissions liées aux importations*";0,155402918;Données Consolidées
2019-02;" Émissions liées aux importations*";0,005295898;Données Consolidées
2019-03;" Émissions liées aux importations*";0,000568212;Données Consolidées
2019-04;" Émissions liées aux importations*";0,006586056;Données Consolidées
2019-05;" Émissions liées aux importations*";;Données Consolidées
2019-06;" Émissions liées aux importations*";0,000462043;Données Consolidées
2019-07;" Émissions liées aux importations*";0,007183583;Données Consolidées
2019-08;" Émissions liées aux importations*";0,000104904;Données Consolidées
2019-09;" Émissions liées aux importations*";;Données Consolidées
2019-10;" Émissions liées aux importations*";0,005587813;Données Consolidées
2019-11;" Émissions liées aux importations*";0,249030474;Données Consolidées
2019-12;" Émissions liées aux importations*";0,105353851;Données Consolidées
2020-01;" Émissions liées aux importations*";0,016559474;Données Consolidées
2020-02;" Émissions liées aux importations*";;Données Consolidées
2020-03;" Émissions liées aux importations*";0,00163223;Données Consolidées
2020-04;" Émissions liées aux importations*";0,005914177;Données Consolidées
2020-05;" Émissions liées aux importations*";0,000911263;Données Consolidées
2020-06;" Émissions liées aux importations*";0,017008887;Données Consolidées
2020-07;" Émissions liées aux importations*";0,047973791;Données Consolidées
2020-08;" Émissions liées aux importations*";0,047530354;Données Consolidées
2020-09;" Émissions liées aux importations*";0,268631985;Données Consolidées
2020-10;" Émissions liées aux importations*";0,028380267;Données Consolidées
2020-11;" Émissions liées aux importations*";0,012636738;Données Consolidées
2020-12;" Émissions liées aux importations*";0,132232205;Données Consolidées
2021-01;" Émissions liées aux importations*";0,18391499;Données Consolidées
2021-02;" Émissions liées aux importations*";0,059153991;Données Consolidées
2021-03;" Émissions liées aux importations*";0,019625374;Données Consolidées
2021-04;" Émissions liées aux importations*";0,117810181;Données Consolidées
2021-05;" Émissions liées aux importations*";0,01532208;Données Consolidées
2021-06;" Émissions liées aux importations*";;Données Consolidées
2021-07;" Émissions liées aux importations*";;Données Consolidées
2021-08;" Émissions liées aux importations*";;Données Consolidées
2021-09;" Émissions liées aux importations*";;Données Consolidées
2021-10;" Émissions liées aux importations*";0,002505531;Données Consolidées
2021-11;" Émissions liées aux importations*";0,358204325;Données Consolidées
2021-12;" Émissions liées aux importations*";0,600796039;Données Consolidées
2022-01;" Émissions liées aux importations*";0,404154586;Données Consolidées
2022-02;" Émissions liées aux importations*";0,043176622;Données Consolidées
2022-03;" Émissions liées aux importations*";0,337056052;Données Consolidées
2022-04;" Émissions liées aux importations*";0,320177935;Données Consolidées
2022-05;" Émissions liées aux importations*";0,085215546;Données Consolidées
2022-06;" Émissions liées aux importations*";0,277178784;Données Consolidées
2022-07;" Émissions liées aux importations*";0,488148768;Données Consolidées
2022-08;" Émissions liées aux importations*";0,606943615;Données Consolidées
2022-09;" Émissions liées aux importations*";0,652832278;Données Consolidées
2022-10;" Émissions liées aux importations*";0,295211593;Données Consolidées
2022-11;" Émissions liées aux importations*";0,375129725;Données Consolidées
2022-12;" Émissions liées aux importations*";0,860160743;Données Consolidées
2023-01;" Émissions liées aux importations*";0,2367765412;Données Consolidées
2023-02;" Émissions liées aux importations*";0,09646720558;Données Consolidées
2023-03;" Émissions liées aux importations*";0,2665065349;Données Consolidées
2023-04;" Émissions liées aux importations*";0,04600717691;Données Consolidées
2023-05;" Émissions liées aux importations*";0,0008453129059;Données Consolidées
2023-06;" Émissions liées aux importations*";0,003194542427;Données Consolidées
2023-07;" Émissions liées aux importations*";0,006190617461;Données Consolidées
2023-08;" Émissions liées aux importations*";0,005372271037;Données Consolidées
2023-09;" Émissions liées aux importations*";0,0004060895624;Données Consolidées
